S.No.,Company,Type,Rating,Reviewers,Age,Highly_Ratedfor,Critically_Ratedfor
4425,Dr Mohan's Diabetes Specialities Centre,Healthcare,4.2,170,33,"Work Life Balance, Salary & Benefits, Skill Development / Learning",None
4426,Shri Bajrang Power & Ispat,Power,4.1,170,22,"Job Security, Work Life Balance, Company Culture",None
4427,Dorset Industries,Building Material,3.7,170,29,"Salary & Benefits, Promotions / Appraisal",None
4428,Student Life,Non-Profit,4,170,6,"Job Security, Skill Development / Learning, Work Life Balance",None
4429,Hitachi Astemo Rajasthan Brake Systems,Auto Components,4.3,170,39.39854522,"Company Culture, Work Life Balance, Job Security",None
4430,NTT Global Data Centers and Cloud Infrastructure,IT Services & Consulting,4.1,170,39.39854522,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4431,Catch Foods,Food Processing,4.2,170,39.39854522,"Job Security, Work Life Balance, Company Culture",None
4432,Schott Poonawalla,Packaging,4.1,170,39.39854522,Job Security,None
4433,Hire Glocal,Recruitment,4.8,170,12,"Company Culture, Work Satisfaction, Skill Development / Learning",None
4434,DEEJOS Architects & Constructions,Architecture & Interior Design,5,170,16,"Company Culture, Promotions / Appraisal, Skill Development / Learning",None
4435,Mayur Uniquoters,Leather,4.2,169,32,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
4436,Star Hospitals,Healthcare,4.2,169,19,"Work Life Balance, Skill Development / Learning, Work Satisfaction",None
4437,Chain-Sys,IT Services & Consulting,3.8,169,26,"Job Security, Skill Development / Learning","Salary & Benefits, Company Culture"
4438,Shriram Properties,Real Estate,3.8,169,29,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",None
4439,Essae Digitronics,Electronics Manufacturing,4,169,28,"Company Culture, Skill Development / Learning",None
4440,Dotsquares,IT Services & Consulting,3.6,169,22,"Salary & Benefits, Promotions / Appraisal, Company Culture",None
4441,Bank Muscat,Banking,4.1,169,42,"Job Security, Work Satisfaction, Skill Development / Learning",None
4442,iBall,Consumer Electronics & Appliances,3.8,169,23,"Job Security, Promotions / Appraisal, Salary & Benefits",None
4443,IFB Automotive,Auto Components,4.1,169,50,Job Security,"Promotions / Appraisal, Company Culture"
4444,Service Master Clean,Facility Management Services,4.2,169,95,"Job Security, Work Life Balance, Skill Development / Learning",None
4445,Childline India Foundation,Non-Profit,4.2,169,28,"Work Satisfaction, Skill Development / Learning, Work Life Balance","Job Security, Promotions / Appraisal"
4446,Barbrik Project Limited (PRA Group),Engineering & Construction,4.5,169,16,"Skill Development / Learning, Company Culture, Work Satisfaction",None
4447,Unicorn Infosolutions,Retail,3.8,169,22,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
4448,Shubhalakshmi Polyesters,Fashion & Textile,3.7,169,45,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
4449,Utkarsh India,Industrial Machinery,3.3,169,37,"Work Life Balance, Promotions / Appraisal, Company Culture",None
4450,Xeam Ventures,Recruitment,4.1,169,20,"Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal"
4451,Saudi Electricity Company,Power,4.4,169,24,"Work Life Balance, Work Satisfaction, Job Security",None
4452,Marine Electricals,Electrical Equipment,3.8,169,46,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
4453,Asian Institute of Medical Sciences,Healthcare,4.1,169,14,"Skill Development / Learning, Work Satisfaction, Company Culture",None
4454,Hyva,Urban Transport,3.5,169,45,"Promotions / Appraisal, Skill Development / Learning, Company Culture",None
4455,Oriental Aromatics,Chemicals,3.2,169,69,"Promotions / Appraisal, Company Culture, Work Satisfaction",None
4456,Interarch Building Product,Engineering & Construction,4.2,169,40,"Job Security, Work Life Balance, Company Culture",None
4457,APOLLO POWER SYSTEMS,Electrical Equipment,4.1,169,39,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4458,Peerless Biotech,Medical Equipment,4.5,169,39.39854522,"Skill Development / Learning, Work Satisfaction, Company Culture",None
4459,Groww,Financial Services,3.9,169,7,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
4460,Concentrix Catalyst,IT Services & Consulting,3.7,169,41,"Promotions / Appraisal, Company Culture, Job Security",None
4461,Venkateshwar Hospital,Healthcare,3.7,169,19,"Company Culture, Promotions / Appraisal, Work Satisfaction",None
4462,Galgotias University,Education & Training,3.2,168,13,"Promotions / Appraisal, Company Culture, Work Satisfaction",None
4463,Leayan Global,Fashion & Textile,4.3,168,19,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal
4464,RMC Readymix,Building Material,3.8,168,28,"Job Security, Promotions / Appraisal, Salary & Benefits",None
4465,Alpha Design Technologies,Defence & Aerospace,3.8,168,21,"Job Security, Work Life Balance, Work Satisfaction","Salary & Benefits, Promotions / Appraisal"
4466,ICFAI Business School,Education & Training,3.7,168,29,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",None
4467,Awign Enterprises,Internet,3.6,168,8,"Promotions / Appraisal, Job Security, Salary & Benefits",None
4468,Olympus,Healthcare,4,168,14,"Job Security, Work Life Balance",Promotions / Appraisal
4469,Valmet,Oil & Gas,4,168,86,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
4470,Unilog Content Solutions ( P),Software Product,3.4,168,26,"Job Security, Promotions / Appraisal, Salary & Benefits",None
4471,Jay Ushin,Auto Components,4.1,168,65,Work Life Balance,Promotions / Appraisal
4472,Pearl Global Industries,Fashion & Textile,4,168,37,"Promotions / Appraisal, Work Satisfaction",None
4473,Gujarat Narmada Valley Fertilizers & Chemicals,Agro Chemicals,4.3,168,48,"Work Life Balance, Job Security, Company Culture",None
4474,ILJIN AUTOMOTIVE,Automobile,3.8,168,51,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",None
4475,Mayoor School,Education & Training,4.7,168,21,"Skill Development / Learning, Work Satisfaction, Job Security",None
4476,Vidya Mandir Classes,EdTech,3.9,168,35,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
4477,Drake & Scull International PJSC,Engineering & Construction,4.1,168,143,None,None
4478,Jaiprakash Power Ventures,Power,3.9,168,30,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
4479,"Apollo Gleneagles Hospitals, Kolkata",Healthcare,4.3,168,21,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
4480,Ncc Urban Infrastructure,Engineering & Construction,4.1,168,17,Promotions / Appraisal,None
4481,Naprod Life Sciences,Pharma,3.7,168,18,"Job Security, Promotions / Appraisal, Work Life Balance",None
4482,Radio Mirchi,Broadcasting,3.5,168,39.39854522,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4483,Marelli Motherson Automotive Lighting,Unknown,3.9,168,39.39854522,"Job Security, Skill Development / Learning",None
4484,Opporture,Content Development,4.8,168,39.39854522,"Company Culture, Skill Development / Learning, Work Life Balance",None
4485,Protium Finance,Financial Services,4,168,5,"Salary & Benefits, Company Culture",None
4486,Thirumalai Chemicals,Chemicals,4,168,51,"Skill Development / Learning, Job Security",Promotions / Appraisal
4487,Qualys,IT Services & Consulting,3.7,168,25,Salary & Benefits,Company Culture
4488,Compuage Infocom,Hardware & Networking,3.9,167,37,"Company Culture, Work Life Balance, Salary & Benefits",None
4489,CPA Global,IT Services & Consulting,4,167,55,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
4490,National Securities Depository,Financial Services,3.4,167,28,Job Security,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
4491,Scope eKnowledge Center,IT Services & Consulting,3.6,167,37,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
4492,GE Transportation,Industrial Machinery,4.2,167,117,"Job Security, Work Life Balance, Skill Development / Learning",None
4493,Rittal,Industrial Machinery,4,167,29,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4494,Upwork,Internet,4.6,167,9,"Work Life Balance, Work Satisfaction, Company Culture",None
4495,Li & Fung,Electrical Equipment,4.1,167,118,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
4496,TA Digital,IT Services & Consulting,4.1,167,24,"Job Security, Work Life Balance, Skill Development / Learning",None
4497,Megafine Pharma,Pharma,4.2,167,29,Skill Development / Learning,Promotions / Appraisal
4498,SEW Infrastructure,Engineering & Construction,3.6,167,64,"Work Satisfaction, Work Life Balance",Salary & Benefits
4499,6D Technologies,Telecom,3.5,167,22,Job Security,"Work Life Balance, Work Satisfaction, Company Culture"
4500,Varindera Constructions,Engineering & Construction,4.3,167,40,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",None
4501,International Travel House,Hospitality,4.1,167,43,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
4502,Carzonrent,Travel & Tourism,3.6,167,24,"Promotions / Appraisal, Job Security",None
4503,Can Fin Homes,NBFC,3.4,167,37,Job Security,"Company Culture, Promotions / Appraisal, Work Satisfaction"
4504,Four Seasons Hotel,Hospitality,4.2,167,27,"Company Culture, Skill Development / Learning, Job Security",None
4505,AltezzaSys,IT Services & Consulting,3.9,167,10,"Work Life Balance, Company Culture, Skill Development / Learning",None
4506,Qatargas,Oil & Gas,4.7,167,40,"Skill Development / Learning, Work Satisfaction, Company Culture",None
4507,Covalent Laboratories,Pharma,3.2,167,22,"Promotions / Appraisal, Company Culture, Salary & Benefits",None
4508,Simar Infrastructures,Engineering & Construction,4.1,167,26,"Job Security, Work Life Balance, Skill Development / Learning",None
4509,Skets Studio,Architecture & Interior Design,4.4,167,19,"Skill Development / Learning, Company Culture, Job Security",None
4510,Technique Control Facility Management,Facility Management Services,3.9,167,14,Promotions / Appraisal,None
4511,Galpha Laboratories,Pharma,3.9,167,38,Work Life Balance,Promotions / Appraisal
4512,Suez Water Technologies and Solutions,Waste Management,4.3,167,55,"Company Culture, Job Security, Skill Development / Learning",None
4513,Hurix Systems,Software Product,3.6,167,24,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",None
4514,Red Bull,Beverage,4.2,166,37,"Salary & Benefits, Job Security, Work Life Balance",Promotions / Appraisal
4515,Weatherford,Oil & Gas,4.1,166,83,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
4516,ITC ABD,Unknown,3.8,166,114,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
4517,Patton International,Iron & Steel,3.7,166,34,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4518,Light Microfinance,NBFC,4,166,30,"Salary & Benefits, Company Culture, Skill Development / Learning",None
4519,DST Worldwide Services,Unknown,4,166,39.39854522,"Work Life Balance, Job Security, Company Culture",None
4522,SCA Health India,BPO,4.9,166,11,"Company Culture, Work Life Balance, Job Security",None
4523,Vanderlande Industries,Logistics,4.1,166,75,"Work Life Balance, Company Culture, Job Security",None
4524,Roha Dyechem,Food Processing,3.1,166,52,"Promotions / Appraisal, Company Culture, Salary & Benefits",None
4525,Jyoti Structures,Power,3.4,166,50,"Promotions / Appraisal, Job Security, Salary & Benefits",None
4526,Exeltis,Pharma,4.1,166,21,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
4527,HEG,Semiconductors,4,166,52,"Work Life Balance, Company Culture, Work Satisfaction",None
4528,Lucy Electric,Electrical Equipment,4,166,212,"Promotions / Appraisal, Salary & Benefits",None
4529,Azim Premji Foundation,Non-Profit,4.1,166,23,"Job Security, Company Culture, Skill Development / Learning",None
4530,Faber India,Consumer Electronics & Appliances,4.3,166,69,"Company Culture, Work Life Balance, Job Security",None
4531,Indian Railway Catering and Tourism,Urban Transport,4.1,166,25,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
4533,Eaton Power Quality,Electronics Manufacturing,4.3,166,113,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
4534,Innoval Digital Solutions,Software Product,4.6,166,27,"Job Security, Work Life Balance, Skill Development / Learning",None
4535,Nilkamal Furniture,Furniture & Furnishing,4.1,166,34,"Skill Development / Learning, Job Security",Promotions / Appraisal
4536,Hi Tech Informatics,IT Services & Consulting,3.7,166,34,"Promotions / Appraisal, Job Security, Salary & Benefits",None
4537,Nandi Toyota,Unknown,3.9,166,23,"Job Security, Company Culture, Skill Development / Learning",None
4538,TerraCIS Technologies,IT Services & Consulting,3.7,166,31,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
4539,VOIZ,BPO,4.3,166,2,"Work Life Balance, Work Satisfaction, Skill Development / Learning",None
4540,OPERATIONAL ENERGY GROUP INDIA,Oil & Gas,3.9,165,17,Promotions / Appraisal,None
4541,Waste Management Holdings,Waste Management,3.9,165,56,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
4542,SEED Infotech,IT Services & Consulting,3.6,165,30,"Work Life Balance, Job Security","Skill Development / Learning, Salary & Benefits, Promotions / Appraisal"
4543,IT By Design,IT Services & Consulting,3.3,165,21,"Promotions / Appraisal, Job Security, Salary & Benefits",None
4544,Allen Solly,Fashion & Textile,4.4,165,280,"Company Culture, Skill Development / Learning, Job Security",None
4545,E2logy Software Solutions,IT Services & Consulting,4.4,165,19,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",None
4546,Sukhbir Agro Energy,Power,3.6,165,25,"Promotions / Appraisal, Company Culture, Job Security",None
4547,Stedman Pharmaceuticals,Pharma,4.3,165,33,"Skill Development / Learning, Work Life Balance, Company Culture",None
4548,CyberSWIFT Infotech,IT Services & Consulting,3.8,165,27,Promotions / Appraisal,None
4549,Tatva Chintan Pharma Chem,Chemicals,4.2,165,28,None,None
4550,JCT,Fashion & Textile,3.7,165,78,"Promotions / Appraisal, Salary & Benefits",None
4551,Paradise Food Court,Hospitality,4.1,165,71,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
4552,WEG,Electronics Manufacturing,3.7,165,63,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",None
4553,Indus Valley Partners,IT Services & Consulting,3.4,165,24,Job Security,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning"
4554,Harsco,Waste Management,3.7,165,171,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",None
4555,Fashion TV,Broadcasting,3.7,165,39.39854522,Job Security,None
4556,Ritu Kumar,Fashion & Textile,3.8,165,55,Skill Development / Learning,Promotions / Appraisal
4557,Sunteck Realty,Real Estate,3.4,165,43,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",None
4558,Global Opportunities,EdTech,4.4,165,23,"Company Culture, Work Life Balance, Work Satisfaction",None
4559,Bekaert Industries,Electrical Equipment,4.2,165,144,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
4560,ICPA Health Products,Healthcare,3.5,165,41,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",None
4561,Amazon Seller Central,Internet,4.3,165,39.39854522,"Company Culture, Skill Development / Learning, Work Life Balance",None
4562,Vishwa Samudra Engineering,Unknown,4.1,165,39.39854522,None,None
4563,Shalimar Corp,Real Estate,4.1,165,39.39854522,"Salary & Benefits, Work Life Balance",Promotions / Appraisal
4564,Itvedant Education,EdTech,4.4,165,12,"Company Culture, Skill Development / Learning, Work Satisfaction",None
4565,MSC Technology India,IT Services & Consulting,4.6,165,17,"Job Security, Work Life Balance, Salary & Benefits",None
4566,Capillary Technologies,IT Services & Consulting,3.6,164,16,"Promotions / Appraisal, Work Satisfaction, Job Security",None
4567,Betsol,IT Services & Consulting,3.5,164,22,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
4568,All India Radio,Broadcasting,4.1,164,94,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
4569,Ananth Technologies,Electronics Manufacturing,3.9,164,32,Job Security,"Salary & Benefits, Promotions / Appraisal"
4570,Escorts Construction Equipment,Industrial Machinery,4.1,164,54,"Skill Development / Learning, Work Life Balance, Job Security",None
4571,Dover India,Industrial Machinery,4,164,21,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
4572,Sapphire Software Solutions (India),IT Services & Consulting,4.5,164,24,"Job Security, Skill Development / Learning, Company Culture",None
4573,Darwinbox,Software Product,3.5,164,9,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",None
4574,Affluent Global Services,IT Services & Consulting,3.4,164,12,"Job Security, Skill Development / Learning, Promotions / Appraisal",None
4575,Ultra Engineers,Industrial Machinery,4.1,164,33,"Skill Development / Learning, Job Security, Company Culture",None
4576,Bharti Foundation,Non-Profit,4.2,164,24,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
4577,Enmas O & M Services,Oil & Gas,3.9,164,19,Job Security,"Salary & Benefits, Company Culture"
4578,Eternis Fine Chemicals,Chemicals,3.8,164,36,"Salary & Benefits, Skill Development / Learning",Job Security
4579,Isc Projects,Engineering & Construction,3.7,164,57,"Job Security, Promotions / Appraisal, Work Satisfaction",None
4582,Dhampur Sugar Mills,Agro Chemicals,3.5,164,91,"Company Culture, Promotions / Appraisal, Work Satisfaction",None
4584,Royal Infraconstru,Engineering & Construction,3.9,164,44,Promotions / Appraisal,None
4587,Wilo Mather and Platt Pumps,Industrial Machinery,4.2,164,154,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
4588,Ratna Sagar,Printing & Publishing,3.8,164,42,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
4589,Fisdom,Financial Services,3.7,164,9,Job Security,None
4590,Edward Food Research and Analysis Centre,Analytics & KPO,3.4,164,103,"Promotions / Appraisal, Work Satisfaction, Company Culture",None
4591,Hyderabad Metro Rail,Railways,4.1,164,14,"Job Security, Skill Development / Learning, Work Satisfaction",Salary & Benefits
4592,Cadworks India,Design,4.7,164,13,"Work Life Balance, Salary & Benefits, Job Security",None
4593,Maxvalue Credits & Investments,NBFC,4.5,163,8,"Work Life Balance, Company Culture, Work Satisfaction",None
4594,Arkray Healthcare,Healthcare,4,163,64,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
4595,The Smart Cube,Management Consulting,3.7,163,21,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Work Satisfaction, Promotions / Appraisal"
4596,SevenMentor,Education & Training,4.7,163,15,"Company Culture, Job Security, Skill Development / Learning",None
4597,Metacube Software,IT Services & Consulting,4,163,20,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
4598,TAL Manufacturing Solutions,Industrial Machinery,4,163,24,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
4599,HomeShop18,Internet,4.2,163,16,"Work Life Balance, Company Culture, Skill Development / Learning",None
4600,National Aerospace Laboratories,Defence & Aerospace,4.4,163,65,"Skill Development / Learning, Work Satisfaction, Company Culture","Job Security, Promotions / Appraisal"
4601,South Eastern Coalfields,Metals & Mining,4.3,163,39,"Job Security, Work Satisfaction, Work Life Balance",None
4607,Saint Gobain Sekurit India,Auto Components,4.1,163,51,"Job Security, Skill Development / Learning",Promotions / Appraisal
4608,Kalyani Maxion Wheels,Auto Components,4,163,104,"Job Security, Work Life Balance",None
4609,Stashfin,FinTech,4.5,163,8,"Salary & Benefits, Work Life Balance, Skill Development / Learning",None
4610,Merkle Sokrati,Marketing & Advertising,3.8,163,39.39854522,"Skill Development / Learning, Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal"
4611,Ikya Human Capital,Recruitment,4.2,163,39.39854522,"Work Life Balance, Skill Development / Learning, Salary & Benefits",None
4612,HostBooks,Software Product,3.6,163,15,"Job Security, Promotions / Appraisal",None
4613,INFOSEC VENTURES,Investment Banking / Venture Capital / Private Equity,4.1,163,13,"Job Security, Skill Development / Learning, Salary & Benefits",None
4614,TIDE,FinTech,4.8,163,9,"Company Culture, Work Life Balance, Work Satisfaction",None
4615,Savista Global Solutions,Analytics & KPO,3.9,163,3,"Company Culture, Work Life Balance",Promotions / Appraisal
4616,Appasamy Associates,Medical Equipment,3.9,162,46,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
4617,Shanthi Gears,Auto Components,3.6,162,55,Skill Development / Learning,"Promotions / Appraisal, Company Culture, Work Life Balance"
4618,Fresher Than Fresh,Retail,4,162,39.39854522,"Skill Development / Learning, Company Culture, Work Satisfaction",None
4619,Madhu Jayanti International,FMCG,3.9,162,82,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",None
4620,KGK Group,Jewellery,3.9,162,119,Job Security,None
4621,Mol Information Processing Services India,IT Services & Consulting,4,162,27,"Job Security, Work Life Balance, Company Culture",None
4622,Laborate Pharmaceuticals,Pharma,3.7,162,39,"Promotions / Appraisal, Company Culture, Skill Development / Learning",None
4623,BajajSons,Automobile,4.1,162,39,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
4624,Toyota Financial Services,Financial Services,3.7,162,41,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
4625,SquadStack,IT Services & Consulting,3.9,162,10,"Job Security, Promotions / Appraisal, Work Satisfaction",None
4626,Botree Software International,Software Product,3.9,162,27,"Promotions / Appraisal, Salary & Benefits",None
4627,Kanoria Chemicals & Industries,Chemicals,4,162,64,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
4628,Highbar Technocrat,IT Services & Consulting,3.8,162,14,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance"
4629,Orange Retail Finance,Financial Services,4,162,24,"Company Culture, Work Satisfaction, Skill Development / Learning",None
4630,Any Brand,Fashion & Textile,4.1,162,39.39854522,"Work Satisfaction, Skill Development / Learning, Company Culture",None
4631,Elsamex Maintenance Services,Facility Management Services,4.1,162,25,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
4632,Army Ordnance Corps,Defence & Aerospace,4.7,162,249,"Job Security, Company Culture, Skill Development / Learning",None
4633,Simpson,Auto Components,3.8,162,184,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Company Culture"
4634,MINISO,Retail,4,162,11,"Job Security, Promotions / Appraisal, Work Satisfaction",None
4635,Amity Software Systems,Software Product,4.3,162,38,"Job Security, Work Life Balance, Work Satisfaction",None
4636,Automotive Axles,Auto Components,4,162,43,Promotions / Appraisal,None
4637,Zypp Electric,Internet,3.9,162,7,"Skill Development / Learning, Company Culture, Salary & Benefits",None
4638,Orion Security Solutions,Law Enforcement & Security,3.2,162,19,"Promotions / Appraisal, Salary & Benefits, Job Security",None
4639,Accurate Engineering Company,Industrial Machinery,3.6,162,61,"Promotions / Appraisal, Company Culture, Salary & Benefits",None
4640,OEN India,Auto Components,4,161,56,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
4641,Riddhi Corporate Services,IT Services & Consulting,3.9,161,14,"Promotions / Appraisal, Job Security, Salary & Benefits",None
4642,Canam Consultants,Management Consulting,4.2,161,28,"Work Life Balance, Company Culture, Skill Development / Learning",None
4643,Edelweiss Broking,Financial Services,3.7,161,29,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",None
4644,Systopic Laboratories,Pharma,4.7,161,42,"Job Security, Work Life Balance, Company Culture",None
4645,ITCube Solutions,IT Services & Consulting,3.4,161,21,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
4646,TRF,Auto Components,3.6,161,62,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4647,Butterfly Gandhimathi Appliances,Consumer Electronics & Appliances,4.4,161,38,"Work Satisfaction, Job Security, Company Culture",None
4648,Biostadt,Agro Chemicals,4.5,161,21,"Work Life Balance, Company Culture, Skill Development / Learning",None
4649,Energy Efficiency Services,Power,4,161,15,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
4650,Srei Sahaj e-Village,Retail,4.1,161,16,Skill Development / Learning,Promotions / Appraisal
4651,Marsh,Insurance,4.1,161,55,"Job Security, Company Culture, Work Life Balance",None
4652,Emirates NBD,Banking,3.8,161,61,Promotions / Appraisal,None
4653,Vision Rx Lab,Medical Equipment,4.2,161,65,"Job Security, Work Life Balance",Promotions / Appraisal
4654,Applus Velosi,Oil & Gas,3.8,161,42,Work Life Balance,Promotions / Appraisal
4655,MM Forgings,Iron & Steel,3.8,161,78,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Company Culture"
4656,Xrbia Developers,Real Estate,2.8,161,12,"Job Security, Promotions / Appraisal, Salary & Benefits",None
4657,Shriram Fortune Solutions,Financial Services,4.2,161,50,"Company Culture, Work Life Balance, Job Security",None
4658,Tbea Energy,Electrical Equipment,4,161,14,Skill Development / Learning,Promotions / Appraisal
4659,Fujitec,Electronics Manufacturing,3.9,161,14,Job Security,"Work Satisfaction, Promotions / Appraisal, Company Culture"
4660,V2Solutions,IT Services & Consulting,4,161,21,"Company Culture, Work Life Balance",None
4661,Sand Martin Consultants,BPO,3,161,40,"Salary & Benefits, Promotions / Appraisal, Company Culture",None
4662,Aditya Infotech,IT Services & Consulting,4.1,161,30,"Work Life Balance, Salary & Benefits, Company Culture",None
4663,Capri Global Housing Finance,Financial Services,3.6,161,27,"Work Life Balance, Job Security, Promotions / Appraisal",None
4664,Jbm Auto Components,Auto Components,4.1,161,41,"Job Security, Skill Development / Learning, Work Life Balance",Salary & Benefits
4665,Dixcy Textiles,Unknown,4.2,161,40,"Skill Development / Learning, Work Life Balance, Company Culture",None
4666,KNR Constructions,Engineering & Construction,4.1,161,29,"Job Security, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal
4667,Loconav,Software Product,3.2,161,9,"Job Security, Promotions / Appraisal, Work Satisfaction",None
4668,BOLD Technology Systems,Internet,3.4,161,20,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",None
4669,Fitelo,Fitness & Wellness,3.5,161,5,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",None
4670,Chiripal Industries,Fashion & Textile,3.6,161,52,"Promotions / Appraisal, Company Culture, Salary & Benefits",None
4671,Novel Office,Real Estate,4,161,31,"Skill Development / Learning, Work Satisfaction, Company Culture",None
4672,Schaeffer & Sam,Unknown,3.5,160,39.39854522,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",None
4673,Tirupati Medicare,Pharma,4.1,160,19,"Job Security, Company Culture, Work Satisfaction",None
4674,Pps Motors,Automobile,3.9,160,13,"Salary & Benefits, Work Life Balance, Job Security",None
4675,Asian Heart Institute and Research Centre,Healthcare,3,160,22,"Job Security, Work Life Balance, Promotions / Appraisal",None
4676,Onicra Credit Rating Agency,FinTech,3,160,31,"Salary & Benefits, Job Security, Promotions / Appraisal",None
4677,British Airways,Aviation,3.3,160,105,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",None
4678,Mangalam Cement,Building Material,4.1,160,48,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
4679,International Certification Services,Other,3.6,160,25,"Promotions / Appraisal, Salary & Benefits, Job Security",None
4680,Infineon Technologies,Semiconductors,3.8,160,25,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
4681,COWI,Engineering & Construction,4.2,160,94,"Work Life Balance, Company Culture, Job Security",None
4682,YES,Banking,4.2,160,39.39854522,"Job Security, Skill Development / Learning, Salary & Benefits",None
4683,Health Prime Services (India),Medical Equipment,3.5,160,21,"Promotions / Appraisal, Work Satisfaction, Company Culture",None
4684,R-Logic Technology Services,IT Services & Consulting,3.9,160,28,"Skill Development / Learning, Company Culture",None
4685,Daffodil Software,IT Services & Consulting,3.7,160,25,"Work Life Balance, Salary & Benefits, Company Culture",None
4686,Parsons International,IT Services & Consulting,4.6,160,80,"Skill Development / Learning, Work Life Balance, Salary & Benefits",None
4687,C. L. GUPTA EXPORTS,Import & Export,4.3,160,69,"Company Culture, Work Life Balance, Skill Development / Learning",None
4688,Terrier Security Services,Law Enforcement & Security,4.1,160,35,"Salary & Benefits, Skill Development / Learning, Work Life Balance",None
